# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[O/Fe]	[C/Fe]
BD+44_1910	A.M.Boesgaard+,ApJ, 743, 140, 2011			5878	3.56	-2.64	-2.64	0.62	
BD+44_1910	J.A.Rich+,ApJ, 701, 1519, 2009	09 49 30.64	+44 17 19.2	5878	3.56	-2.64	-2.64	0.86	
BD+44_493	Y.Takeda+,PASJ, 63, S537, 2011	02 26 49.70	+44 57 46.0	5510	3.7	-3.68	-3.68		
BD+44_493	I.U.Roederer+,ApJ, 824, L19, 2016	02 26 49.70	+44 57 46.0	5430	3.4	-3.8	-4.07		
BD+44_493	V.M.Placco+,ApJ, 790, 34, 2014	02 26 49.70	+44 57 46.0	5430	3.4	-3.8	-3.88	1.54	1.23
BD+44_493	H.Ito+,ApJ, 698, L37, 2009	02 26 49.70	+44 57 46.0	5510	3.7	-3.68	-3.73	1.61	1.32
BD+44_493	I.U.Roederer+,ApJ, 912, 119, 2021			5430	3.4	-3.8	-3.86		
BD+44_493	I.U.Roederer+,AJ, 147, 136, 2014	02 26 49.70	+44 57 46.0	5040	2.1	-4.26	-4.28		1.2
BD+44_493	H.Ito+,ApJ, 773, 33, 2013	02 26 49.70	+44 57 46.0	5430	3.4	-3.8	-3.83	1.64	1.35
BD+44_493	I.U.Roederer+,ApJ, 784, 158, 2014	02 26 49.70	+44 57 46.0	5040	2.1	-4.26	-4.28		1.2
BD+44_493	B.W.Carney+,AJ, 125, 293, 2003	02 26 49.70	+44 57 46.0	5510	2.6	-2.71	-2.71		
BD+44_493	A.Arentsen+,AAP, 621, A108, 2019	02 26 49.7	+44 57 47	5430	3.4	-3.83	-3.83		1.35
BD+4_302	A.M.Boesgaard+,ApJ, 743, 140, 2011			6095	3.71	-2.17	-2.17	0.77	
BD+59_2723	A.M.Boesgaard+,ApJ, 743, 140, 2011			5945	4.5	-2.2	-2.2	0.44	
BD+59_2723	C.Charbonnel+,AAP, 442, 961, 2005	23 26 32.84	+60 37 42.7	6088	4.5	-2	-2		
BD+59_2723	B.E.Reddy+,MNRAS, 367, 1329, 2006	23 26 32.84	+60 37 42.7	5691	4.65	-1.78		0.76	
BD+80_245	I.U.Roederer+,AJ, 147, 136, 2014	08 11 06.20	+79 54 30.0	5360	3.15	-2.01	-2.04	0.2	0.22
BD+80_245	J.P.Fulbright+,AJ, 120, 1841, 2000	08 11 06.20	+79 54 30.0	5225	3	-1.9	-2.03		
BD+80_245	I.I.Ivans+,ApJ, 592, 906, 2003	08 11 06.20	+79 54 30.0	5225	3	-2.07	-2.07	<1.06	
BD+9_2190	A.M.Boesgaard+,ApJ, 743, 140, 2011			6008	3.85	-3	-3	0.56	
BD+9_2190	A.Hosford+,AAP, 493, 601, 2009			6486	4.44	-2.68	-2.84		
BD-01_2582	I.U.Roederer+,AJ, 147, 136, 2014	11 53 37.20	-02 00 36.0	4920	1.8	-2.65	-2.62		0.86
BD-01_2582	C.Charbonnel+,AAP, 442, 961, 2005	11 53 37.20	-02 00 36.0	5196	3	-2.29	-2.29		
BD-01_2582	I.U.Roederer+,ApJ, 724, 975, 2010	11 53 37.20	-02 00 36.0				-2.21		
BD-01_2582	B.W.Carney+,AJ, 125, 293, 2003	11 53 37.20	-02 00 36.0	5130	2.4	-2.32	-2.32		
BD-01_2582	J.Simmerer+,ApJ, 617, 1091, 2004	11 53 37.20	-02 00 36.0	5148	2.86	-2.21	-2.21		0.98
BD-01_2582	A.E.GarciaPerez+,AAP, 451, 621, 2006	11 53 37.20	-02 00 36.0	5072	2.92	-2.13	-2.11	0.59	
BD-01_2582	A.E.GarciaPerez+,AAP, 447, 299, 2006	11 53 37.20	-02 00 36.0	5072	2.92	-2.11	-2.11		
BD-01_2582	D.L.Burris+,ApJ, 544, 302, 2000	11 53 37.20	-02 00 36.0	5150	2.5	-2	-2.08		
BD-01_2582	C.M.Sakari+,ApJ, 868, 110, 2018	11 53 37.32	-02 00 36.7	4960	2.24	-2.49	-2.49		
